Instance, Tickets
2017-10-25 12:16:53.404600, 12
2017-10-25 12:17:03.889100, 12
2017-10-25 12:17:14.232800, 12
2017-10-25 12:17:24.654700, 12
2017-10-25 12:17:34.936000, 12
2017-10-25 12:17:45.264100, 12
2017-10-25 12:17:55.592300, 12
2017-10-25 12:18:05.936100, 13
2017-10-25 12:18:16.264200, 13
2017-10-25 12:18:26.592300, 12
2017-10-25 12:18:36.936100, 12
2017-10-25 12:18:47.295500, 12
2017-10-25 12:18:57.639300, 12
2017-10-25 12:19:08.108000, 12
2017-10-25 12:19:18.420600, 12
2017-10-25 12:19:28.748800, 12
2017-10-25 12:19:39.076900, 12
2017-10-25 12:19:49.420600, 12
2017-10-25 12:19:59.764400, 12
2017-10-25 12:20:10.092700, 12
2017-10-25 12:20:20.483200, 12
2017-10-25 12:20:30.811300, 12
2017-10-25 12:20:41.139500, 12
2017-10-25 12:20:51.592700, 13
2017-10-25 12:21:01.920800, 13
2017-10-25 12:21:12.248900, 12
2017-10-25 12:21:22.561500, 12
2017-10-25 12:21:32.889900, 12
2017-10-25 12:21:43.217700, 11
2017-10-25 12:21:53.546000, 11
2017-10-25 12:22:03.874000, 11
2017-10-25 12:22:14.202200, 11
2017-10-25 12:22:24.530400, 11
2017-10-25 12:22:34.905400, 11
2017-10-25 12:22:45.217900, 10
2017-10-25 12:22:55.561600, 10
2017-10-25 12:23:05.858500, 10
2017-10-25 12:23:16.155400, 10
2017-10-25 12:23:26.499200, 10
2017-10-25 12:23:36.811700, 10
2017-10-25 12:23:47.139800, 10
2017-10-25 12:23:57.468000, 10
2017-10-25 12:24:07.780500, 10
2017-10-25 12:24:18.218000, 10
2017-10-25 12:24:28.546200, 10
2017-10-25 12:24:38.874300, 10
2017-10-25 12:24:49.171200, 10
2017-10-25 12:24:59.515000, 10
2017-10-25 12:25:09.843200, 10
2017-10-25 12:25:20.155700, 10
2017-10-25 12:25:30.452500, 10
2017-10-25 12:25:40.749400, 10
2017-10-25 12:25:51.077700, 10
2017-10-25 12:26:01.499500, 10
2017-10-25 12:26:11.827600, 10
2017-10-25 12:26:22.140200, 10
2017-10-25 12:26:32.468300, 10
2017-10-25 12:26:42.780800, 10
2017-10-25 12:26:53.109000, 10
2017-10-25 12:27:03.405900, 10
2017-10-25 12:27:13.734200, 10
2017-10-25 12:27:24.062200, 10
2017-10-25 12:27:34.390300, 10
2017-10-25 12:27:44.827800, 10
2017-10-25 12:27:55.156000, 10
2017-10-25 12:28:05.484100, 10
2017-10-25 12:28:15.812300, 10
2017-10-25 12:28:26.171700, 10
2017-10-25 12:28:36.499800, 10
2017-10-25 12:28:46.796700, 10
2017-10-25 12:28:57.124800, 10
2017-10-25 12:29:07.437300, 10
2017-10-25 12:29:17.749900, 10
2017-10-25 12:29:28.187400, 10
2017-10-25 12:29:38.499900, 10
2017-10-25 12:29:48.812400, 10
2017-10-25 12:29:59.124900, 10
2017-10-25 12:30:09.437400, 10
2017-10-25 12:30:19.734400, 9
2017-10-25 12:30:30.046900, 9
2017-10-25 12:30:40.375000, 9
2017-10-25 12:30:50.718800, 9
2017-10-25 12:31:01.062600, 9
2017-10-25 12:31:11.672000, 9
2017-10-25 12:31:22.062600, 9
2017-10-25 12:31:32.437600, 9
