Instance, Tickets
2017-10-25 12:16:55.873400, 5
2017-10-25 12:17:06.248400, 5
2017-10-25 12:17:16.654700, 5
2017-10-25 12:17:27.061000, 5
2017-10-25 12:17:37.607900, 5
2017-10-25 12:17:48.076600, 5
2017-10-25 12:17:58.436000, 4
2017-10-25 12:18:08.779800, 4
2017-10-25 12:18:19.232900, 4
2017-10-25 12:18:29.654800, 4
2017-10-25 12:18:40.561100, 4
2017-10-25 12:18:50.936100, 4
2017-10-25 12:19:01.342500, 4
2017-10-25 12:19:11.748700, 4
2017-10-25 12:19:22.154900, 4
2017-10-25 12:19:32.608100, 4
2017-10-25 12:19:42.967500, 4
2017-10-25 12:19:53.389400, 4
2017-10-25 12:20:03.952000, 4
2017-10-25 12:20:14.327000, 4
2017-10-25 12:20:24.701900, 4
2017-10-25 12:20:35.108300, 4
2017-10-25 12:20:45.498900, 5
2017-10-25 12:20:55.905100, 5
2017-10-25 12:21:06.346500, 5
2017-10-25 12:21:16.748900, 4
2017-10-25 12:21:27.123900, 4
2017-10-25 12:21:37.592900, 4
2017-10-25 12:21:48.124000, 4
2017-10-25 12:21:58.592700, 4
2017-10-25 12:22:09.030300, 4
2017-10-25 12:22:19.405300, 4
2017-10-25 12:22:29.780400, 4
2017-10-25 12:22:40.186600, 4
2017-10-25 12:22:50.592900, 4
2017-10-25 12:23:01.108500, 4
2017-10-25 12:23:11.514800, 4
2017-10-25 12:23:22.233500, 4
2017-10-25 12:23:32.686700, 4
2017-10-25 12:23:43.046100, 4
2017-10-25 12:23:53.421100, 5
2017-10-25 12:24:03.764900, 5
2017-10-25 12:24:14.124200, 6
2017-10-25 12:24:24.483700, 6
2017-10-25 12:24:34.827600, 6
2017-10-25 12:24:45.296200, 6
2017-10-25 12:24:55.686800, 6
2017-10-25 12:25:06.124400, 6
2017-10-25 12:25:16.608700, 6
2017-10-25 12:25:26.968200, 6
2017-10-25 12:25:37.374400, 6
2017-10-25 12:25:47.796300, 6
2017-10-25 12:25:58.155700, 6
2017-10-25 12:26:08.577600, 6
2017-10-25 12:26:19.015100, 6
2017-10-25 12:26:29.437100, 6
2017-10-25 12:26:39.796400, 6
2017-10-25 12:26:50.155800, 6
2017-10-25 12:27:00.702800, 6
2017-10-25 12:27:11.077800, 6
2017-10-25 12:27:21.484000, 6
2017-10-25 12:27:32.077800, 6
2017-10-25 12:27:42.421600, 6
2017-10-25 12:27:52.827800, 6
2017-10-25 12:28:03.249700, 6
2017-10-25 12:28:13.749700, 6
2017-10-25 12:28:24.187300, 6
2017-10-25 12:28:34.718500, 6
2017-10-25 12:28:45.296700, 6
2017-10-25 12:28:55.609200, 6
2017-10-25 12:29:06.015500, 7
2017-10-25 12:29:16.468600, 7
2017-10-25 12:29:26.937400, 7
2017-10-25 12:29:37.390500, 7
2017-10-25 12:29:47.796800, 7
2017-10-25 12:29:58.250000, 7
